method,horizon,forecast_quarter,target_quarter,train_start,train_end,selected_variables
Elastic net,1,2015 Q3,2015 Q4,1995 Q3,2015 Q2,5
Ridge,1,2015 Q3,2015 Q4,1995 Q3,2015 Q2,NA
Threshold ridge,1,2015 Q3,2015 Q4,1995 Q3,2015 Q2,18
Post-threshold ridge,1,2015 Q3,2015 Q4,1995 Q3,2015 Q2,18
OCMT,1,2015 Q3,2015 Q4,1995 Q3,2015 Q2,3
BMT,1,2015 Q3,2015 Q4,1995 Q3,2015 Q2,1
AR,1,2015 Q4,2016 Q1,1995 Q4,2015 Q3,0
LASSO,1,2015 Q4,2016 Q1,1995 Q4,2015 Q3,3
Elastic net,1,2015 Q4,2016 Q1,1995 Q4,2015 Q3,3
Ridge,1,2015 Q4,2016 Q1,1995 Q4,2015 Q3,NA
Threshold ridge,1,2015 Q4,2016 Q1,1995 Q4,2015 Q3,18
Post-threshold ridge,1,2015 Q4,2016 Q1,1995 Q4,2015 Q3,18
OCMT,1,2015 Q4,2016 Q1,1995 Q4,2015 Q3,3
BMT,1,2015 Q4,2016 Q1,1995 Q4,2015 Q3,1
AR,1,2016 Q1,2016 Q2,1996 Q1,2015 Q4,0
LASSO,1,2016 Q1,2016 Q2,1996 Q1,2015 Q4,4
Elastic net,1,2016 Q1,2016 Q2,1996 Q1,2015 Q4,5
Ridge,1,2016 Q1,2016 Q2,1996 Q1,2015 Q4,NA
Threshold ridge,1,2016 Q1,2016 Q2,1996 Q1,2015 Q4,17
Post-threshold ridge,1,2016 Q1,2016 Q2,1996 Q1,2015 Q4,17
OCMT,1,2016 Q1,2016 Q2,1996 Q1,2015 Q4,3
BMT,1,2016 Q1,2016 Q2,1996 Q1,2015 Q4,2
AR,1,2016 Q2,2016 Q3,1996 Q2,2016 Q1,0
LASSO,1,2016 Q2,2016 Q3,1996 Q2,2016 Q1,1
Elastic net,1,2016 Q2,2016 Q3,1996 Q2,2016 Q1,1
Ridge,1,2016 Q2,2016 Q3,1996 Q2,2016 Q1,NA
Threshold ridge,1,2016 Q2,2016 Q3,1996 Q2,2016 Q1,16
Post-threshold ridge,1,2016 Q2,2016 Q3,1996 Q2,2016 Q1,16
OCMT,1,2016 Q2,2016 Q3,1996 Q2,2016 Q1,4
BMT,1,2016 Q2,2016 Q3,1996 Q2,2016 Q1,2
AR,1,2016 Q3,2016 Q4,1996 Q3,2016 Q2,0
LASSO,1,2016 Q3,2016 Q4,1996 Q3,2016 Q2,1
Elastic net,1,2016 Q3,2016 Q4,1996 Q3,2016 Q2,1
Ridge,1,2016 Q3,2016 Q4,1996 Q3,2016 Q2,NA
